adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
MAN1C1,RADIL,ACTRT1,RDH16,HSPA8,TUBGCP4,UCHL5,IL4,ALDH3A1,MGME1,CPNE5,,CD96,,FHL2,NNT,PSMG3,CTRL,,ATP13A3,DEFA6,,FDX1,DGUOK,,RNF170,,MACROH2A1,NOL10,IRGC,RPS24,NXPE4,IL18RAP,CDH15,NUSAP1,,BICDL1,ASGR1,ACMSD,,PLAC8,TRIM55,PIK3C2B,,RPS12,MYBPH,TMEM251,CDO1,RNF7,HAND1,ODC1,SLC51A,MSX1,,NEK11,,GRM1,ATPAF1,CFAP251,CRB1
NEK2,NLRP14,CCDC70,GALNT6,DNAJC4,ITPKA,CTH,IL5,SYNGR2,TBC1D20,RREB1,,ADGRF4,,MLPH,MRPS27,AP3S2,DPEP3,,SFTPD,TMEM184A,,C11orf1,MOB1A,,TNFRSF8,,TCERG1,QPCT,LYPD3,MYPN,TRPC6,SLC9A2,INS-IGF2,KNL1,,DTX1,PIK3R5,CLGN,,CABS1,ADHFE1,CHIT1,,C6orf62,PIK3C2B,SPACA7,QRICH2,BCHE,PCDHB7,PLEKHB2,ABLIM2,TMOD4,,MRPL3,,CNTNAP4,HJURP,NLRP14,CFHR5
NENF,HPD,SPRYD7,KRT71,SIAE,PAK6,AGMAT,NUP155,B9D1,TCF15,RIOK1,,FRMD1,,CNPPD1,GZMK,FMNL2,SKAP1,,DYDC2,NOS3,,FXYD2,KANSL3,,LYPLA1,,DPYSL3,RAB3GAP1,PSG8,AOX1,MMP7,MLPH,LBP,RTF1,,TRAFD1,TP53,BMP6,,GC,PSKH2,DCLK1,,GMNN,CHIT1,ADPRHL1,FOXJ1,PDCD10,PDE8B,GORASP2,ZNF691,SMCP,,ACVR2B,,RAB3C,AMD1,HPD,ERN2
NSL1,XDH,EBPL,SMIM2,LPXN,SLC28A2,CRYZ,FGF1,UTP6,BANF2,CRISP1,,FAM81B,,UXS1,CDH9,DPYSL5,LRRC46,,SPINK5,SPAG11B,,MMP13,RTKN,,EPX,,SMAD5,SLC25A12,CRISP2,STAT4,MMP27,CNPPD1,SYT5,TUBGCP4,,DMTF1,CCDC40,MERTK,,SNCA,ATP6V0D2,CCNA1,,EYA4,DCLK1,CD8A,RHBDF2,COL7A1,HAVCR1,QPCT,CAMP,IVL,,GORASP1,,NRSN1,PLP1,XDH,IL2RA
ARID1A,CNNM4,NEUROD4,LPAR6,DTX4,CYP19A1,CD2,TRAPPC13,DDX5,TMEM74B,RUNX2,,C16orf89,,STK16,APBB3,TNFRSF14,SPACA3,,CA1,CA3,,NUSAP1,KCNIP3,,COIL,,CSNK1A1,SRSF7,F13A1,MSTN,CFAP300,UXS1,TNNI3,ITPKA,,TMEM243,ANAPC11,PLA2R1,,ANK2,DPYS,STOML3,,SOBP,CCNA1,TGIF2LX,ARHGEF6,ACAP2,GRM6,RAB3GAP1,ZNF589,SPRR3,,PEX5L,,JAKMIP1,SERPINA7,ESYT3,ANKRD16
CENPF,ESYT3,PDE1B,SETD1B,ATG2A,BCL2L10,ADPRS,C9,PSMD11,FAM110A,OPN5,,SPACA7,,PASK,SPARC,PEX10,ARSG,,SWAP70,GBX1,,KNL1,SLC35F5,,TRIM25,,PDGFRB,SDC1,GRM4,MDH1B,SLC37A4,STK16,GAMT,UACA,,TMEM60,TBCD,CD96,,FABP2,RSPO2,MORC4,,NR2E1,POSTN,CIBAR2,ASH2L,GNAT1,ARSB,RMDN2,BSN,ARHGAP25,,ABCC5,,ZIC1,NRK,CLSTN2,ECHDC3
ESYT2,CLSTN2,HOXC13,RAB20,EHD1,SPTBN5,MAP7D1,SEC24A,LGALS3BP,SIRPD,LRRFIP1,,ADPRHL1,,STK25,HMGCR,RADIL,ABCA8,,LYVE1,BAALC,,PARP6,ZAP70,,SCPEP1,,CDX1,SLC1A4,PACSIN1,ITPRID2,POU2F3,HDLBP,GALNT8,PLCB2,,CD36,CEP131,ADGRF4,,SETD7,MAL2,BEX2,,TRIM38,STOML3,TMPRSS11D,CDKN1C,TFG,CNOT6,SRSF7,HSPA4L,S100A9,,AADAC,,CPB1,FAM199X,COLEC12,CCNH
RCN2,COLEC12,LRP1,SSTR1,PPP6R3,BRDT,WARS2,WWC1,ASIC2,DEFB129,SCGB1D2,,CD8A,,TPO,CERT1,WIPI2,CHCT1,,TEX15,C9orf24,,ITPKA,STEAP3,,SLC35B1,,STC2,SOS1,BTN2A2,CHRNA1,RDX,PASK,KCNA5,TMEM62,,UGT2A3,ZNF750,FRMD1,,PDGFC,GSDMC,BEX1,,PEX7,MORC4,CACNA2D1,SGO1,FXR1,BTNL8,SDC1,MFSD8,S100A12,,ABHD14B,,SREK1IP1,ESX1,SLC13A3,DOCK2
MUC5B,SLC13A3,ATG101,CBLN3,MS4A4A,GIPC2,TSNAX,DPYSL3,CCL2,NCLN,SCGB2A1,,TGIF2LX,,PROC,FAF2,LDLRAP1,GNAL,,DUSP26,NUDT2,,UACA,EPB41L5,,TEX14,,HRH2,WIPF1,SIRT5,ABI2,FDX1,STK25,CRACR2A,PAK6,,CSN2,TNFRSF11A,FAM81B,,CYP4V2,CDKN2B,FAM104A,,PERP,SRRM1,NUS1,RPS4Y1,BBX,POLR3G,PLCL1,CAMKV,CCNYL1,,ABHD14A-ACY1,,LGI2,TNFAIP6,CATIP,RERG
COLEC11,H4C8,NFE2,NOVA1,ST3GAL4,CLCA2,C1orf109,SMAD5,PEX12,CITED1,SSUH2,,CIBAR2,,HPCAL1,HAND1,NLRP14,ADCYAP1,,MEN1,PRKACG,,PLCB2,TFCP2L1,,NCAPH,,DBN1,ORC2,BTN1A1,SLC40A1,C11orf1,TPO,SH3BP4,ADAM10,,UGT2B28,NT5C3B,C16orf89,,ROPN1L,NTRK2,PRAM1,,SLC16A10,PRAM1,AK5,VCY1B,HHLA2,CDH6,SLC1A4,GRM2,CRYGC,,DNAH1,,CENPH,PLA2G12A,KCNB1,SLCO1B1
A4GNT,KCNB1,DBH,MDGA2,CPT1A,DBT,NID1,CSNK1A1,DHX58,ARMCX5,BBS2,,TMPRSS11D,,BIRC6,PCDHB5,HPD,MEP1B,,ERG28,ZMAT4,,ADAM10,SF3B6,,MND1,,EHHADH,PLEK,NQO2,GUCA1C,FXYD6,PROC,MOSPD2,DUOX1,,SRPK2,PNMT,TMEM251,,CDH18,PLPPR1,PDE6B,,HECA,PDE6B,CABYR,VCY,IQCG,GOLPH3,ORC2,DUSP7,ALPP,,ZBTB47,,BANK1,COQ8B,TSPAN33,MYBPC3
TREH,AHCYL2,ATPAF1,RTN1,CCND1,KHK,NT5C1A,PDGFRB,NAGLU,MMP24,PIWIL1,,CACNA2D1,,NOL10,PCDHB7,XDH,RMC1,,ADAM20,PRSS37,,DUOX1,TP53I3,,ADCY7,,CNTN3,RND3,OARD1,COX17,FXYD2,HPCAL1,LDLR,SLC28A2,,HTR1B,IGFBP4,SPACA7,,SKP2,INIP,HSPBP1,,SLC39A7,CSNK1G2,THY1,CDY2B,MORC1,NPR3,RND3,PRSS12,GABRG1,,TNNC1,,ACMSD,PFKFB2,AHCYL2,USP26
IFT46,CD1A,HJURP,ARMH4,TMEM109,DYNC2LI1,ZP4,CDX1,HSD17B1,NECAB3,GPR18,,NUS1,,PLEKHB2,PDE8B,ESYT3,SLC14A1,,PEBP4,GKAP1,,SLC28A2,POMC,,ECHDC2,,SMC4,THADA,UNC5CL,SPPL2A,MMP13,BIRC6,TSPAN16,STRA6,,SNX14,CACNA1A,ADPRHL1,,UGT3A1,GSN,SLF1,,CCR6,CNDP2,DNAAF1,INS-IGF2,C3orf52,FAM172A,THADA,NDST3,ALPG,,NKTR,,CLGN,C4BPA,CD1D,MTNR1B
MMP8,CPA2,AMD1,ADAM21,HPX,SLC5A6,KMO,BNIP1,CNTNAP1,ERGIC3,TMTC4,,AK5,,PRKD3,PCDHB15,CLSTN2,SLC13A5,,MRO,TRPV6,,CYP19A1,CENPA,,PLBD1,,SELENOK,AAK1,H1-1,HCN4,NUSAP1,NOL10,CNN1,CYP19A1,,LCA5,PFKL,CD8A,,SHISAL2B,CRB2,CNDP2,,SLC22A2,RTN3,NRGN,LBP,FRMD4B,SLC27A6,AAK1,HMGB2,NIPAL1,,FOXP1,,BMP6,C4BPB,CD1A,SPOCD1
APOA1,NCF1,SERPINA7,WDR89,TRIM3,PREPL,KCNQ4,STC2,ABI3,BPIFB1,SLC10A2,,CABYR,,QPCT,HAVCR1,COLEC12,ASGR1,,IER3IP1,CYBB,,BCL2L10,TANC1,,IAPP,,TIMMDC1,C2orf42,MOCS1,HERC6,KNL1,PLEKHB2,APOE,BCL2L10,,CGA,VAV1,PTPRD,,GZMA,ALAD,PLAAT2,,PACRG,MYH11,GPR15,SYT5,ROPN1B,AGXT2,C2orf42,NAA15,ALPI,,SPCS1,,MERTK,DAW1,CD1E,AGO4
ZNF541,DYNC1I1,RAB9B,ESR2,CHORDC1,SLC3A1,ETV3,HRH2,EZH1,AMOT,ABCC4,,THY1,,RAB3GAP1,GRM6,SLC13A3,PIK3R5,,CCNB1,PCDH19,,GCHFR,SLC30A3,,KCNJ8,,KNG1,PCYOX1,TCP11,HERC5,ITPKA,GORASP2,APOC1,SPTBN5,,EHF,DMRTC2,TGIF2LX,,HAPLN1,CIZ1,MYH11,,QKI,MYO18B,ANGPT1,TNNI3,UPK1B,IL4,PCYOX1,ELOVL7,COL6A3,,NEK4,,PTPRR,ACSL3,CPA2,TUT4
SLC8A2,PAGE5,NRK,PTGR2,ANAPC15,EMILIN1,SLAMF1,DBN1,COL1A1,AGO3,SOX21,,DNAAF1,,RMDN2,RNF130,CATIP,CCDC40,,CDK7,STRBP,,BRDT,GTF3C2,,BCL2L14,,HRG,KISS1R,APOBEC2,PCDH10,PLCB2,QPCT,GADD45G,GCHFR,,PRPH,IFITM3,CIBAR2,,LHFPL2,LCN2,MORC2,,C6orf118,C1QTNF6,CERS3,GAMT,CSPG5,RAD50,KISS1R,ADGRV1,SLC22A15,,EEF1B2,,PLA2R1,INHA,NCF1,DSG3
TNNT2,TAGLN2,FAM199X,AK7,PANX1,ATRAID,CD48,EHHADH,PTGES3L-AARSD1,UROD,TM9SF2,,NRGN,,SDC1,ARSB,KCNB1,TBCD,,CD180,NLGN4Y,,GIPC2,EIF2B4,,A1BG,,BCL6,ARID3A,KLHDC3,FGF2,PAK6,RAB3GAP1,DPP6,TTLL7,,AVIL,COL6A1,TMPRSS11D,,BHMT,INPP5E,SLC2A11,,PDE10A,FAM83F,GAL3ST2,ERMARD,KLHL18,ST8SIA4,ARID3A,ESM1,IGFN1,,MOB1A,,CD96,FAM124B,PAGE5,DSC1
CRYGD,SLAMF8,ESX1,FAM181A,ARHGEF17,CYP2C9,PADI2,CNTN3,MRPL27,ST3GAL3,UPF3B,,GPR15,,KYNU,THBS4,AHCYL2,TRIM65,,IRAK2,AQP3,,CLCA2,ITGB6,,CSTA,,HGD,CD207,GNMT,BBS7,DUOX1,RMDN2,XPO7,IFI44L,,GDF11,COL6A2,PID1,,ANKRD31,LCN9,C1QTNF6,,MDFI,GIMAP4,ENPP3,GALNT8,NEK11,GNPDA1,SUMO1,GPX8,PROK2,,KANSL3,,ADGRF1,SLC12A4,TAGLN2,FHOD3
TNP1,SLC45A3,RAB9A,FBLN5,APOA4,CYP2C8,MFAP2,SMC4,VAT1,TMEM53,SEPTIN6,,ANGPT1,,WIPF1,CNOT6,CD1A,CEP131,,CAMK1,ARMC3,,RTCA,FNDC4,,DPPA4,,CLDN16,ATP6V1B1,TREM1,BLTP1,SLC28A2,SDC1,ACE2,GIPC2,,TESPA1,TRPM2,DDAH1,,CRHBP,NACC2,NTS,,CCND3,NTS,UCHL1,CRACR2A,MRPL3,NUP155,CD207,ENPP6,TEX55,,RTKN,,ADGRF4,ENKD1,SLAMF8,DAGLA
KLF7,HTR6,TTC21B,CLBA1,APOC3,LOXL4,RPF1,SELENOK,LRRC59,KLC1,TMEM255A,,GAL3ST2,,ORC2,IL12B,CD1B,ELAC1,,BHLHE40,LRFN5,,SELENOI,SNX17,,POPDC2,,CD86,PLEKHA3,MEA1,NAAA,STRA6,SLC1A4,NCAN,CLCA2,,FAM186B,LMTK3,CACNA2D1,,RASA1,TMEM236,C12orf29,,GUCA1B,SFTPD,PGM5,MOSPD2,COMMD2,FGF1,ATP6V1B1,CMYA5,LMOD1,,KCNIP3,,FRMD1,MC3R,SLC45A3,CBLIF
TTR,ITLN2,TNFAIP6,SORD,CEP164,ATAD1,KDM5B,KNG1,RND2,PROZ,NDUFA1,,ENPP3,,PLEK,BTNL8,CPA2,TNFRSF11A,,CNTN6,LRRC18,,KHK,PPM1G,,B4GALT4,,FAM162A,EPHA4,GLO1,NUP54,CYP19A1,KYNU,PLVAP,SELENOI,,KRT85,SLC6A3,NUS1,,TNFAIP8,RSU1,SFTPD,,PRPH2,DYDC2,LONRF1,LDLR,GORASP1,C9,PLEKHA3,EGFLAM,PDCL2,,FAHD2A,,FAM81B,CTCFL,HTR6,C5AR2
CA14,FGF17,PLA2G12A,DUOXA2,GALNT18,CUZD1,ZNHIT6,HRG,ALOX12,SLURP1,BMP4,,UCHL1,,RND3,TTC1,NCF1,PMAIP1,,CHL1,TSHR,,DYNC2LI1,REEP6,,CD80,,OGG1,PARD3B,RREB1,G3BP2,BCL2L10,WIPF1,COLGALT1,KHK,,CDK4,MYO1F,GRAP,,COMMD10,PARD3,DYDC2,,PPP2R5D,TMEM254,PPP1R3A,ELOF1,RRP9,SEC24A,EPHA4,TMEM174,TMEM169,,NCL,,C16orf89,PI3,ITLN2,PDGFRA
DNAI7,VWA5B1,B9D2,SLC27A2,BIRC2,CEP55,GBP1,BCL6,HDAC5,LRFN3,GRK4,,PGM5,,THADA,CCNG1,PAGE5,PNMT,,DPH6,PGM2L1,,ACTR2,GCG,,GJA8,,KPNA1,FARSB,RIOK1,ENPEP,SPTBN5,PLEK,MRPL34,DYNC2LI1,,PPP1R1A,CACNG8,AK5,,LECT2,ZEB1,TMTC1,,PTK7,SPINK5,CCSAP,TSPAN16,ABCC5,TXNDC15,PARD3B,CARTPT,IGFBP7,,SLC35F5,,SPACA7,SLPI,FGF17,GGACT
IRAG2,CDA,PFKFB2,FGF7,UBE4A,RBP4,KIF17,HGD,ABCC3,IGFLR1,SOX9,,PPP1R3A,,AAK1,POLR3G,TAGLN2,IGFBP4,,EMC7,PHOX2A,,SLC5A6,IFIH1,,MAPK8IP1,,PCCB,ALMS1,CRISP1,CASP6,GCOM1,RND3,LSM7,RAB1A,,B4GALNT1,SIGLEC10,CABYR,,TIMD4,A1CF,SPINK5,,CUL9,CA1,ASZ1,APOE,AADAC,RARS1,FARSB,FAM170A,TRIM46,,ZAP70,,ADPRHL1,PREX1,VWA5B1,COL4A2
ATP10B,APOA2,C4BPA,HDC,UPK2,ASCC1,CDK18,CLDN16,PPY,KIRREL2,TEKT3,,CCSAP,,TRAK2,CDH6,ELK4,FKBP10,,TRPM1,MBL2,,SLC3A1,RPS15,,CAT,,ARMC8,BCL9,OPN5,LEF1,GCHFR,THADA,MAS1,SLC5A6,,FAIM2,RPS11,THY1,,GABRA6,CDHR1,LRRCC1,,DNPH1,SWAP70,GBP5,APOC1,ABHD14A-ACY1,WWC1,ALMS1,TERT,CXCR1,,EPB41L5,,CD8A,SLC12A5,CDA,CLDN10
USP35,MPZ,C4BPB,GCNT3,CBL,PLA2G12B,RAB29,ARL6,MPP2,FFAR2,MYH2,,ASZ1,,C2orf42,GOLPH3,SLAMF8,CACNA1A,,PRPF38B,HEPACAM,,EMILIN1,GCA,,PILRB,,CEP70,PRRX1,RAB17,SEC24B,BCAR3,AAK1,ACSBG2,PREPL,,ESPL1,CTU1,DNAAF1,,GABRB2,ANKRD1,CA1,,TMEM30A,LYVE1,GPR26,GADD45G,ARHGEF26,TCERG1,DHCR24,SLC6A18,TMEM79,,TFCP2L1,,PTPRD,SEMG2,DMTN,UBAC2
FILIP1,WFDC8,DAW1,CDAN1,NECTIN1,ZNF365,ECE1,NPHP3,SMURF2,HCST,GGA3,,GBP5,,PCYOX1,NPR3,SLC45A3,VAV1,,REG4,SKA3,,ATRAID,TTC31,,GJA3,,RBP2,DHCR24,SCGB1D2,MTTP,TTLL7,TRAK2,STK33,SLC3A1,,KRT7,IGLON5,NRGN,,SPINK7,FRA10AC1,SWAP70,,GMDS,AMPD3,CFAP210,XPO7,VIPR1,DPYSL3,DNAJC16,GDF9,CRYBA2,,SF3B6,,TGIF2LX,TOX2,ADAMTS4,BIVM
HMGN3,WNT9B,INHA,TLE3,HIPK3,RPS24,ID3,CD86,EFTUD2,CCR7,NT5C,,GPR26,,KISS1R,FAM172A,HTR6,DMRTC2,,TSPAN2,MAGEC3,,CYP2C9,CLIP4,,HCRTR1,,RBP1,TNR,SCGB2A1,FBN2,BRDT,C2orf42,NDUFA10,EMILIN1,,ACVR1B,SLC2A5,GPR15,,CPLX2,HABP2,LYVE1,,IMPG1,ZFC3H1,C10orf90,ACE2,DNAH1,SMAD5,TNR,FABP7,RETNLB,,TP53I3,,ZDHHC7,GDAP1L1,APOA2,ADAMTS8
UBE3D,CDC42SE2,SLC12A4,SCAPER,SLC1A2,MYPN,CR2,NIT2,SLC16A6,PRRG2,BARHL1,,CFAP210,,ARID3A,SLC27A6,ITLN2,COL6A1,,TSHB,NGB,,CYP2C8,AUP1,,FABP3,,SLC25A36,MORN1,SSUH2,PDE6H,IFI44L,PCYOX1,EPO,TRIM54,,MIP,CFAP74,ANGPT1,,TBC1D7,MKI67,TEX15,,VEGFA,TEX15,SRSF12,NCAN,SSR3,CSNK1A1,MORN1,TLX3,FCRL4,,POMC,,CIBAR2,GTSF1L,MPZ,ACRV1
SPACA1,EPB41,ENKD1,TSPAN3,COMMD9,AOX1,CD46,FAM162A,PRKAR1A,TSKS,PPP1R12C,,C10orf90,,CD207,LNPEP,NPM2,COL6A2,,GSTM3,NOXRED1,,LOXL4,HTRA2,,TMEM39B,,GRK7,CACYBP,BBS2,ERP27,GIPC2,KISS1R,ARPC1B,ACTR1A,,MAP7,FHAD1,CERS3,,FARS2,CYP17A1,DUSP26,,PRPF4B,DUSP26,PDLIM3,PLVAP,TNNC1,PDGFRB,SCP2,TXLNB,TRAT1,,STAM2,,TMPRSS11D,CSE1L,WFDC8,ETS1
PHF3,DONSON,MC3R,TPM1,SLC15A3,STAT4,P3H1,KPNA1,EFNB3,FLRT1,MBOAT7,,SRSF12,,ATP6V1B1,AGXT2,FGF17,APP,,VAV3,CDX2,,CUZD1,LOXL3,,CCRL2,,RNF7,SCP2,DOK4,GABARAPL1,ARHGAP29,ARID3A,PXDN,CYP2C9,,PRADC1,PADI1,GAL3ST2,,DCDC2,INA,MED6,,TTK,MEN1,CXADR,NSUN5,CLCN2,CDX1,TPSG1,DCBLD1,FBLN2,,OTOF,,PID1,RAB22A,WNT9B,KLB
ADGB,SV2A,CTCFL,CYP11A1,CD5,MSTN,SLC2A1,ARMC8,FAM20A,ASL,IL37,,PDLIM3,,PLEKHA3,SLC12A7,VWA5B1,LMTK3,,HMGCS2,AMER2,,ARL3,GALNT3,,CCR2,,KAT2B,TPSG1,PIWIL1,SINHCAF,SELENOI,CD207,GDF15,CYP2C8,,SEMA4F,SH3BGRL3,ENPP3,,H2BC1,LRRC27,ADAM20,,BTN2A1,ERG28,TMPRSS15,MRPL34,EIF4G1,STC2,PAPPA2,IL31RA,GLB1L,,GPD2,,CACNA2D1,STAU1,EPB41,C9orf40
MYB,LAD1,PI3,CYP1A1,SCGB2A2,MDH1B,CDC20,RBP2,RANGRF,CSN1S1,CHCHD5,,CXADR,,EPHA4,IL4,CDA,SLC6A3,,SORT1,KBTBD6,,CEP55,POLE4,,ZNF639,,BCHE,PAPPA2,SLC10A2,AEBP2,KHK,ATP6V1B1,IQCN,LOXL4,,EGR4,C1orf216,UCHL1,,DOK3,ADAM12,ELP3,,LAMA4,ADAM20,NCAM2,ACSBG2,INO80D,HRH2,RALGPS2,PI16,FCRL1,,CENPA,,CABYR,CDH26,DONSON,CTSL
ALDH8A1,STC1,SLPI,GOLGA6D,MDK,HECW2,IPO13,RBP1,MAP2K6,STATH,PAX8,,TMPRSS15,,PARD3B,IL5,NDUFS2,CAPN10,,ADAM30,SSX5,,KIF20B,TACR1,,SLITRK3,,COL7A1,RALGPS2,ABCC4,KLRG1,DYNC2LI1,PLEKHA3,HRC,STAMBPL1,,RAB11FIP5,EVA1B,PGM5,,PPP1R18,RGS10,PEBP4,,TENT5A,LOXL2,ADAMTS1,STK33,MOB1A,DBN1,ANGPTL1,TRA2A,SERPINI1,,TANC1,,THY1,RBPJL,SV2A,CEMIP2
ARG1,TNNI1,PREX1,PCSK6,AMBRA1,ITPRID2,B4GALT2,SLC25A36,DHRS7B,HTN1,PSD4,,NCAM2,,FARSB,ST8SIA4,APOA2,MYO1F,,VTCN1,SSX3,,RBP4,CCDC88A,,LIAS,,GNAT1,ANGPTL1,EFNB2,VAMP1,CYP1B1,EPHA4,TRPM4,CUZD1,,SMYD5,FCN3,PPP1R3A,,LGSN,GAS2,MRO,,FBRSL1,PEBP4,SLFN13,EPO,RTKN,EHHADH,CEP104,HCN1,SPTA1,,SLC30A3,,DNAAF1,SEMG1,STC1,GOLM1
CCN2,CSRP1,SLC12A5,CELF6,PTPMT1,CHRNA1,ERI3,GRK7,WSB1,STAT5A,SLC25A23,,L3MBTL4,,ALMS1,NUP155,TOMM40L,CACNG8,,PPHLN1,OTX2,,PLA2G12B,ACADL,,CPXM2,,TFG,CEP104,SOX21,CD27,SLC3A1,PARD3B,SULT4A1,KIF20B,,DYSF,CELA3A,CCSAP,,FGD2,SLC5A12,CCNB1,,ENPP5,MRO,WNT7A,ARPC1B,KCNIP3,CRBN,FAM20B,MYOZ3,MNDA,,GTF3C2,,NRGN,C20orf85,TNNI1,PSAT1
PMFBP1,HOXB13,NCOA3,CYP1A2,SLC22A18,ABI2,AKR1A1,RNF7,RCVRN,PRKCG,PSPN,,ADAMTS1,,BCL9,FGF1,MPZ,ZNF787,,FKBP11,NUDT5,,ZNF365,EVA1A,,TMEM54,,RPL24,FAM20B,IRF1,PIANP,EMILIN1,FARSB,CRB3,RBP4,,CCDC142,NBPF3,ASZ1,,TTBK1,LRRC4C,CD180,,LY86,IER3IP1,XPC,MAP1S,FAHD2A,KNG1,LRRC42,NEUROD6,PYHIN1,,EIF2B4,,ANGPT1,TP53TG5,CSRP1,ISCA1
FBXL5,KCNE2,SEMG2,HAPLN3,CD81,SLC40A1,TSPAN1,XRN1,MYH1,DACH2,ALKBH7,,SLFN13,,PRRX1,C5orf15,WNT9B,SLC47A1,,GRHL1,DACT1,,RPS24,MRPL19,,HPCA,,CYB561D2,TMEM59,TMEM255A,COL2A1,ATRAID,ALMS1,SAG,PLA2G12B,,EMX1,HSPG2,GBP5,,MTFR2,SAA4,THUMPD3,,MEP1A,MRPS36,DPH3,PXDN,SLC35F5,HRG,WRAP73,BMT2,IFI16,,NRBP1,,GAL3ST2,PCK1,KCNE2,HAVCR2
MYL12B,CLIC6,TOX2,RHCG,SLC35F2,GUCA1C,CCDC181,BCHE,SLC9A3R1,EMG1,GRIA3,,WNT7A,,DHCR24,TRAPPC13,EPB41,SIGLEC10,,RSAD2,BEND7,,AOX1,EFEMP1,,LRIF1,,FXR1,LRRC42,NDUFA1,INHBE,LRPPRC,BCL9,LSP1,ZNF365,,KCNMB4,TINAGL1,GPR26,,SLC2A12,SCGB1A1,BHLHE40,,ERBIN,CCNB1,PLCL2,GDF15,ZAP70,BCL6,NPHS2,PTTG1,SLC2A2,,ITGB6,,ENPP3,ZBP1,RCAN1,SDS
ARMC2,IGF2BP1,GDAP1L1,RLBP1,C11orf21,COX17,NSUN4,COL7A1,MYH3,SSX1,C3,,XPC,,DNAJC16,C9,MIS18A,KLK3,,LPIN1,ATP5F1C,,SMARCAL1,REG1A,,SV2C,,HHLA2,WRAP73,BMP4,TPH2,TRIM54,DHCR24,TNNT3,RPS24,,GNS,KIF2C,CFAP210,,AIG1,SYT8,ARL8B,,PCDHB2,CD180,EPHB1,IQCN,STEAP3,HGD,ICMT,KIF6,RPL22L1,,SNX17,,C4orf19,MAGEA10,IGF2BP1,MSI1
CASQ2,GIP,GTSF1L,ST8SIA2,CALCA,SPPL2A,TMED5,USP4,NAT9,ELK1,TNFSF14,,PLCL2,,TNR,TXNDC15,DONSON,CTU1,,CMPK2,SLC18A2,,STAT4,FANCL,,UBL3,,IQCG,NPHS2,GRK4,LGR5,DTNB,DNAJC16,TNNI2,MYPN,,CPM,CYP4B1,C10orf90,,PNLDC1,GLYAT,CNTN6,,NUDT12,EDEM1,ACSS1,HRC,EPB41L5,CLDN16,STXBP3,STEAP1,FABP1,,PPM1G,,UCHL1,MTRR,GIP,HNF1A
ABCG2,ACTC1,RAB22A,SH3GL3,SOX6,CILP,CNN3,GNAT1,VTN,ATG14,FOSB,,EPHB1,,MORN1,RARS1,STC1,IGLON5,,ANO3,ENOX2,,MSTN,FN1,,FYTTD1,,MORC1,MRPL37,TEKT3,LUM,ACTR1A,TNR,COL5A1,AOX1,,MPHOSPH6,DMRTB1,SRSF12,,IGFBP1,SERPING1,CHL1,,MAN2A1,CNTN6,CA10,SULT4A1,SF3B6,NPHP3,PHF13,HEY1,ICOS,,REEP6,,PGM5,CHST8,ACTC1,P2RX4
SPP1,CHAF1B,PTGIS,SLC5A2,C11orf58,HERC6,DPH5,CYB561D2,TNFAIP1,SIX1,SNRPD2,,ACSS1,,CACYBP,MACROH2A1,TNNI1,SLC2A5,,IL6ST,CLEC1B,,MDH1B,STAT1,,XPNPEP2,,NCBP2,STXBP3,MYH2,SYCP3,CYP2C9,SCP2,CALY,SMARCAL1,,CHST5,IGSF3,PDLIM3,,ASB10,KLHL35,KATNBL1,,C7,MEIS2,SEPTIN14,CRB3,DNAJC27,CD86,ELAPOR1,SLC13A4,RYBP,,GCG,,PPP1R3A,IL9R,GOLGA6A,BICDL1
STBD1,GOLGA6A,CDH26,RUSF1,PITPNM1,HERC5,FASLG,BBX,TMEM97,DLGAP5,RTN2,,CA10,,SCP2,DPYSL3,PRAC1,CFAP74,,FST,TMEM52B,,HECW2,GLS,,SASH3,,FRMD4B,PHF13,NT5C,ASCL1,CYP2C8,TPSG1,CYP2E1,MSTN,,FHOD1,FNDC7,CXADR,,NLGN4X,TENM4,TRPM1,,GHR,DPH6,DKK2,SAG,POMC,FAM162A,OPRD1,PGAM2,NKX6-1,,RPS15,,CCSAP,PAIP2B,SCUBE1,DTX1
