adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
PTBP1,LAMP2,SPPL2B,COX10,CROT,TNFRSF12A,,TMEM98,ZNF195,CDC27,CX3CL1,,PRSS22,,TMEM98,DNAAF1,TNFRSF12A,AGK,TMEM98,MARK4,,GGCT,CX3CL1,,BAIAP2L1,RALA,,ATOSB,,LAMP2,SPPL2B,MSL3,ZNF195,GTF2IRD1,COX10,TSPOAP1,TTC22,,LAMP2,TNFRSF12A,IBTK,,GTF2IRD1,TMEM98,ADIPOR2,,MSL3,TMEM98,MAP3K14,FUZ,GTF2IRD1,RPUSD1,PHTF2,LAMP2,CX3CL1,MEOX1,,ZNF195,DVL2,IBTK,CCDC124
PIK3C2A,REX1BD,COPZ2,GTF2IRD1,ZNF195,RALA,,ABCC8,PDK2,UPF1,MAP3K9,,UPF1,,MAP3K14,CFAP70,BAIAP2L1,ALDH3B1,ZNF263,CCDC124,,IFRD1,SPATA20,,AGK,TTC22,,COPZ2,,REX1BD,ATOSB,CREBBP,ZFX,ADIPOR2,GTF2IRD1,WDR54,PHTF2,,ITGA2B,RALA,ZNF195,,PAF1,CX3CL1,CCDC124,,CREBBP,MAP3K14,TMEM132A,ZNF200,PNPLA4,BAIAP3,GGCT,OSBPL7,TNFRSF12A,LIG3,,PDK2,UPF1,ZNF195,CEACAM21
DCN,TMEM98,MSL3,VPS41,PDK2,BAIAP2L1,,ZNF263,ITGA3,SLC25A5,BAIAP2L1,,SLC25A5,,TAC1,RSPH1,AGK,TTC22,CX3CL1,CEACAM21,,COX10,TNFRSF12A,,ALDH3B1,IFRD1,,MSL3,,TMEM98,COPZ2,TSPOAP1,LAMP2,MARK4,VPS41,CROT,IFRD1,,REX1BD,AGK,LAMP2,,VPS41,TNFRSF12A,BLTP2,,IBTK,AP2B1,TAC1,CLCN6,CCDC124,TSR3,COX10,TMEM98,MAP3K9,RPAP3,,ITGA3,SKAP2,LAMP2,PAFAH1B1
ERCC1,MAP3K14,CREBBP,ARSD,ZFX,TTC22,,CX3CL1,ZFX,DHX33,AGK,,MCUB,,ZNF263,IKZF3,ALDH3B1,PHTF2,SPATA20,PAFAH1B1,,GTF2IRD1,MAP3K9,,FARP2,COX10,,CREBBP,,ZNF263,CREBBP,CROT,REX1BD,CEACAM21,ELAC2,IBTK,COX10,,TMEM98,ALDH3B1,REX1BD,,PNPLA4,KDM7A,TRAPPC6A,,ZNF195,ZNF263,ZNF263,TSPAN9,PAFAH1B1,PSMB1,PAF1,MAP3K14,RALA,REXO5,,ZFX,SLC25A5,TMEM98,TRAPPC6A
SEMA3B,ABCC8,TSPOAP1,MARK4,LAMP2,PHTF2,,TNFRSF12A,LAMP2,RPAP3,TTC22,,DHX33,,CX3CL1,C1orf87,TTC22,FARP2,TNFRSF12A,BLTP2,,PAF1,RALA,,GGCT,GTF2IRD1,,TSPOAP1,,CX3CL1,CROT,ZNF195,TMEM98,PAFAH1B1,CCDC124,ZNF195,GTF2IRD1,,MAP3K14,TTC22,OSBPL7,,PROM1,TTC22,MATK,,PDK2,CX3CL1,CX3CL1,AKAP8L,TRAPPC6A,CDK11A,ELAC2,ZNF263,AGK,CIAPIN1,,LAMP2,MCUB,CX3CL1,PSMB1
CALCOCO1,AP2B1,CROT,CEACAM21,TMEM98,IFRD1,,MAP3K9,MAP3K14,SPPL2B,PHTF2,,MEOX1,,MAP3K9,CTSS,PHTF2,IFRD1,MAP3K9,TRAPPC6A,,ARHGAP44,AGK,,COX10,PAF1,,GCFC2,,TNFRSF12A,IBTK,ITGAL,MAP3K14,RPUSD1,PAFAH1B1,ZFX,ELAC2,,AP2B1,GGCT,TMEM98,,CEACAM21,FARP2,CDKL5,,ITGA3,TNFRSF12A,MAP3K9,UTP18,RPUSD1,CYTH3,ARSD,CX3CL1,ALDH3B1,SPPL2B,,REX1BD,DHX33,TNFRSF12A,JARID2
EHD3,CX3CL1,IBTK,MATK,MAP3K14,COX10,,KDM7A,TMEM132A,PRKAR2B,FARP2,,THSD7A,,RALA,MSX1,FARP2,COX10,RALA,PIGQ,,ELAC2,ALDH3B1,,GTF2IRD1,MARK4,,WDR54,,MAP3K9,ZNF195,PDK2,AP2B1,BAIAP3,LUC7L,LAMP2,MARK4,,ZNF263,IFRD1,MAP3K14,,PAFAH1B1,GGCT,CDK11A,,ZFX,BAIAP2L1,RALA,RNF216,BAIAP3,CRY1,PNPLA4,SPATA20,TTC22,ATOSB,,OSBPL7,MEOX1,MAP3K9,CDK11A
PSMC4,SPATA20,ZNF195,RPUSD1,ZNF263,GTF2IRD1,,AGK,ZNF263,CREBBP,IFRD1,,LIG3,,AGK,S100A9,IFRD1,GTF2IRD1,AGK,CRAMP1,,PNPLA4,TTC22,,VPS41,CCDC124,,CROT,,BAIAP2L1,ITGAL,ZFX,ZNF263,CRAMP1,PSMB1,TMEM98,CCDC124,,CX3CL1,COX10,TMEM132A,,MATK,IFRD1,PLEKHG6,,LAMP2,AGK,AGK,LARS2,TSR3,ST3GAL1,CCDC124,TNFRSF12A,IFRD1,COPZ2,,MAP3K14,LIG3,RALA,SPAG9
POLR3B,TNFRSF12A,PDK2,BAIAP3,CX3CL1,PAF1,,ALDH3B1,CX3CL1,TSPOAP1,COX10,,ACSM3,,ALDH3B1,CAVIN2,COX10,PAF1,ALDH3B1,PSMB1,,ADIPOR2,PHTF2,,ADIPOR2,CEACAM21,,ZNF195,,AGK,PDK2,LAMP2,CX3CL1,PSMB1,JARID2,MAP3K14,PAFAH1B1,,SPATA20,GTF2IRD1,ZNF263,,RPUSD1,COX10,CRY1,,REX1BD,TTC22,ALDH3B1,CEP68,PIGQ,MMP25,PAFAH1B1,MAP3K9,COX10,PRKAR2B,,CX3CL1,RPAP3,ALDH3B1,CRY1
RNF14,RALA,ZFX,PIGQ,MAP3K9,VPS41,,TTC22,TNFRSF12A,GCFC2,GTF2IRD1,,SPPL2B,,TTC22,CD14,GTF2IRD1,VPS41,TTC22,JARID2,,MARK4,IFRD1,,CCDC124,PAFAH1B1,,PDK2,,ALDH3B1,ITGA3,AP2B1,TNFRSF12A,CDK11A,CDKL5,ABCC8,CEACAM7,,MAP3K9,PAF1,CX3CL1,,PIGQ,ELAC2,ST3GAL1,,TMEM98,PHTF2,TTC22,LDAF1,PSMB1,HEATR5B,MATK,RALA,PAF1,MSL3,,KDM7A,ACSM3,TTC22,NFIX
POLA2,BAIAP2L1,LAMP2,SELE,RALA,ELAC2,,GGCT,MAP3K9,RHBDD2,PAF1,,PRKAR2B,,PHTF2,DNAI2,PAF1,ARHGAP44,IFRD1,CDK11A,,CEACAM21,COX10,,BLTP2,BLTP2,,ZFX,,TTC22,LAMP2,CX3CL1,MAP3K9,SYPL1,CYTH3,ZNF263,LUC7L,,RALA,ELAC2,TNFRSF12A,,PSMB1,PNPLA4,FAM76A,,MAP3K14,FARP2,PHTF2,SEMA3B,CDK11A,RPS20,RPUSD1,ALDH3B1,VPS41,CREBBP,,AGK,SPPL2B,FARP2,FAM76A
CCDC88C,ALDH3B1,TMEM98,PSMB1,BAIAP2L1,MARK4,,COX10,RALA,IBTK,VPS41,,MSL3,,USH1C,CFAP53,VPS41,ARSD,GTF2IRD1,NADK,,PAFAH1B1,ARHGAP44,,LUC7L,GAS7,,LAMP2,,PHTF2,REX1BD,TNFRSF12A,RALA,SPAG9,MGST1,CX3CL1,BAIAP3,,BAIAP2L1,PNPLA4,RALA,,CDKL5,PROM1,RANBP9,,AP2B1,GGCT,IFRD1,EXTL3,CYTH3,UBE3C,LUC7L,TTC22,ARHGAP44,CROT,,TTC22,ATOSB,GGCT,BAZ1B
WAS,TTC22,MAP3K14,CDK11A,AGK,CEACAM21,,PAF1,BAIAP2L1,ZNF195,ELAC2,,CREBBP,,IFRD1,CTSW,ELAC2,PNPLA4,PAF1,SYPL1,,DNAH9,PNPLA4,,TSR3,BAIAP3,,OSBPL7,,FARP2,TMEM98,BAIAP2L1,BAIAP2L1,SS18L2,CRY1,TNFRSF12A,PSMB1,,AGK,MARK4,ALDH3B1,,CDK11A,CEACAM21,METTL13,,CX3CL1,COX10,COX10,UBR7,MPND,FAM76A,TSR3,USH1C,ELAC2,RHBDD2,,PHTF2,CREBBP,IFRD1,RANBP9
NUDCD3,PHTF2,TMEM132A,NADK,TTC22,PAFAH1B1,,ARHGAP44,KDM7A,PDK2,MARK4,,TSPOAP1,,COX10,AGR3,PNPLA4,MARK4,ARHGAP44,SPAG9,,BLTP2,ADIPOR2,,PIGQ,PIGQ,,TMEM98,,GGCT,CX3CL1,PHTF2,AGK,ST3GAL1,NFIX,MAP3K9,JARID2,,ALDH3B1,CCDC124,TTC22,,CYB561,PAFAH1B1,UQCRC1,,SPATA20,PAF1,PAF1,MAP4K5,CRY1,VTA1,PSMB1,IFRD1,PNPLA4,IBTK,,FARP2,TSPOAP1,COX10,UQCRC1
WWTR1,IFRD1,CX3CL1,CYTH3,PHTF2,DNAH9,,ELAC2,AGK,ZFX,CCDC124,,CROT,,PAF1,CD34,MARK4,CCDC124,ELAC2,MPND,,TRAPPC6A,MARK4,,CDK11A,CRAMP1,,MAP3K14,,IFRD1,MAP3K9,FARP2,TTC22,MMP25,CSDE1,RALA,NADK,,TTC22,PAFAH1B1,USH1C,,MPND,BLTP2,STARD3NL,,RALA,SCIN,ARHGAP44,EHD3,NFIX,BAZ1B,JARID2,COX10,PROM1,ZNF195,,IFRD1,GCFC2,GTF2IRD1,NCAPD2
SYT13,COX10,TNFRSF12A,SYPL1,FARP2,BLTP2,,PNPLA4,ALDH3B1,LAMP2,CEACAM21,,IBTK,,ARHGAP44,PPA1,CCDC124,CEACAM21,PNPLA4,MGST1,,BAIAP3,CCDC124,,NADK,PSMB1,,AP2B1,,COX10,KDM7A,GGCT,IFRD1,CSDE1,BAZ1B,BAIAP2L1,CYB561,,PHTF2,TRAPPC6A,IFRD1,,CRY1,SLC13A2,GIPR,,AGK,PNPLA4,ELAC2,NUB1,ST3GAL1,RANBP9,CDKL5,PAF1,CEACAM21,PDK2,,COX10,ZNF195,PAF1,FUZ
SNAI2,ELAC2,MAP3K9,CYB561,GGCT,TRAPPC6A,,MARK4,TTC22,REX1BD,PAFAH1B1,,ZNF195,,SCIN,FOXL2,CEACAM21,PAFAH1B1,MARK4,ST3GAL1,,PIGQ,CEACAM21,,CYTH3,JARID2,,ZNF263,,VPS41,AGK,IFRD1,COX10,BAZ1B,STARD3NL,KDM7A,SS18L2,,IFRD1,LUC7L,COX10,,ST3GAL1,TRAPPC6A,NISCH,,ALDH3B1,ADIPOR2,SCIN,RNF14,MMP25,METTL13,NADK,VPS41,PAFAH1B1,ITGA3,,PAF1,PDK2,ARHGAP44,ELOA
SPAST,PNPLA4,RALA,SS18L2,IFRD1,MATK,,CCDC124,PHTF2,TMEM98,BLTP2,,PDK2,,PNPLA4,SNTN,PAFAH1B1,BLTP2,PROM1,MMP25,,CRAMP1,PAFAH1B1,,AASS,CDK11A,,CX3CL1,,ELAC2,ALDH3B1,COX10,GTF2IRD1,RANBP9,CD9,AGK,MGST1,,COX10,PIGQ,PAF1,,CSDE1,LUC7L,STAB1,,TTC22,MARK4,PNPLA4,DNASE1L1,RPS20,UQCRC1,SYPL1,ARHGAP44,BLTP2,LAMP2,,ADIPOR2,ZFX,ELAC2,NME1-NME2
FHL1,ADIPOR2,BAIAP2L1,PGLYRP1,COX10,BAIAP3,,CEACAM21,FARP2,MAP3K14,TRAPPC6A,,ZFX,,ADIPOR2,PLN,TRAPPC6A,TRAPPC6A,CEACAM21,SEC62,,JARID2,BLTP2,,PLEKHG6,CYTH3,,TNFRSF12A,,PROM1,TTC22,GTF2IRD1,PAF1,STARD3NL,NISCH,ALDH3B1,CRY1,,PAF1,PSMB1,VPS41,,UBE3C,PIGQ,FUZ,,FARP2,CCDC124,ADIPOR2,COX15,UBE3C,STARD3NL,CRY1,ELAC2,MATK,REX1BD,,MARK4,LAMP2,SCIN,TSPAN9
SLC45A4,PROM1,AGK,NFIX,GTF2IRD1,PIGQ,,PAFAH1B1,GGCT,ABCC8,MATK,,LAMP2,,PROM1,CD247,PIGQ,LUC7L,PAFAH1B1,RPS20,,MPND,SLC13A2,,MPND,CYB561,,RALA,,CCDC124,GGCT,PAF1,ELAC2,NISCH,CLCN6,TTC22,ST3GAL1,,ELAC2,JARID2,ARHGAP44,,BAZ1B,PSMB1,IDS,,COX10,CEACAM21,PROM1,YAF2,FAM76A,CD9,PGLYRP1,PNPLA4,CEACAM7,TMEM98,,PROM1,OSBPL7,MARK4,APBA3
ZDHHC6,CCDC124,ALDH3B1,MMP25,PAF1,CRAMP1,,BLTP2,IFRD1,CACNG3,RPUSD1,,REX1BD,,CEACAM21,TGM2,JARID2,TSR3,BLTP2,CSDE1,,ST3GAL1,TRAPPC6A,,MGST1,SPAG9,,KDM7A,,CEACAM21,COX10,ELAC2,ADIPOR2,FUZ,MRC2,FARP2,MMP25,,SCIN,CDK11A,ELAC2,,RANBP9,JARID2,TSPAN9,,GTF2IRD1,PAFAH1B1,CCDC124,IL20RA,VTA1,NCAPD2,NFIX,ADIPOR2,RPUSD1,MAP3K14,,CCDC124,TMEM98,CEACAM21,AKAP8L
RB1CC1,CEACAM21,TTC22,HEATR5B,VPS41,CDKL5,,LUC7L,COX10,TMEM132A,BAIAP3,,OSBPL7,,PAFAH1B1,AIF1,CDKL5,PIGQ,MATK,UBE3C,,MMP25,RPUSD1,,CRY1,HEATR5B,,AGK,,TRAPPC6A,PAF1,ARSD,PROM1,ELOA,NME1-NME2,USH1C,PKD1,,ARSD,SYPL1,SCIN,,METTL13,SYPL1,APBA3,,PAF1,TRAPPC6A,CEACAM21,CLCA4,RANBP9,GIPR,MMP25,MARK4,BAIAP3,AP2B1,,CEACAM21,MAP3K14,PAFAH1B1,UTP18
GLRX2,PAFAH1B1,USH1C,CSDE1,ELAC2,NADK,,CACNA2D2,PAF1,AP2B1,PIGQ,,TMEM98,,BLTP2,SHANK3,CYTH3,CRAMP1,CEACAM7,TRAF3IP3,,PKD1,PIGQ,,ST3GAL1,POMT2,,ALDH3B1,,RPUSD1,ARHGAP44,PNPLA4,CCDC124,CLCN6,TSPAN9,GGCT,SEC62,,PNPLA4,CYB561,PNPLA4,,UQCRC1,CYB561,AKAP8L,,ELAC2,PSMB1,PAFAH1B1,ATP2C1,METTL13,NISCH,HEATR5B,PAFAH1B1,PIGQ,TAC1,,PAFAH1B1,AP2B1,BLTP2,TTC19
STRAP,PIGQ,GGCT,UBE3C,PNPLA4,TFAP2B,,BAIAP3,VPS41,TAC1,PSMB1,,MAP3K14,,PAX6,CCL5,SYPL1,JARID2,BAIAP3,VTA1,,HEATR5B,CRAMP1,,MMP25,SPRTN,,TTC22,,LUC7L,ELAC2,CCDC124,CEACAM21,NME1-NME2,AKAP8L,IFRD1,RPS20,,ADIPOR2,AASS,ADIPOR2,,NCAPD2,AASS,MBTD1,,SCIN,JARID2,BLTP2,SLC11A1,UQCRC1,ZNF200,SEC62,TRAPPC6A,CRAMP1,ZNF263,,BLTP2,CX3CL1,RPUSD1,PTBP1
EHD2,CDKL5,IFRD1,TRAF3IP3,MARK4,SYPL1,,PIGQ,ARHGAP44,ZNF263,CDKL5,,ABCC8,,RPUSD1,,AASS,NADK,PIGQ,BAZ1B,,SEC62,JARID2,,RHOBTB2,METTL13,,PHTF2,,TSR3,PNPLA4,PAFAH1B1,PAFAH1B1,BTBD7,UTP18,COX10,CSDE1,,PROM1,MGST1,MARK4,,IFFO1,CRY1,PIK3C2A,,PNPLA4,CDK11A,RPUSD1,WWTR1,STARD3NL,CLCN6,UBE3C,MATK,PSMB1,CX3CL1,,TRAPPC6A,TNFRSF12A,BAIAP3,ANLN
KPNA6,NADK,COX10,BAZ1B,PROM1,SPAG9,,CRAMP1,ARSD,CX3CL1,CDK11A,,TMEM132A,,PIGQ,,PLEKHG6,CYTH3,PSMB1,METTL13,,CSDE1,NADK,,CSDE1,NCAPD2,,FARP2,,PSMB1,PRSS21,TRAPPC6A,DNAH9,APBA3,RNF216,GTF2IRD1,UBE3C,,CCDC124,MMP25,PROM1,,GIPR,NFIX,PPP5C,,MARK4,NADK,PIGQ,STEEP1,CD9,MRC2,FAM76A,PIGQ,JARID2,SPATA20,,BAIAP3,BAIAP2L1,PIGQ,RABGAP1
VEZT,CYTH3,GTF2IRD1,SPRTN,CCDC124,MPND,,PSMB1,CCDC124,TNFRSF12A,NADK,,ZNF263,,JARID2,,SS18L2,SYPL1,CDK11A,CD9,,POMT2,AASS,,UBE3C,STAB1,,GGCT,,JARID2,MARK4,MATK,BLTP2,AKAP8L,PIK3C2A,PAF1,REV3L,,CEACAM21,HEATR5B,CCDC124,,NISCH,MMP25,CEP68,,CCDC124,SS18L2,JARID2,TTC27,NCAPD2,NME1-NME2,TRAF3IP3,CDK11A,CDK11A,TNFRSF12A,,PIGQ,TTC22,PSMB1,PPP5C
BCLAF1,SYPL1,PAF1,METTL13,CEACAM21,MMP25,,JARID2,CEACAM21,MAP3K9,SYPL1,,CX3CL1,,NADK,,MPND,CYB561,SYPL1,NCAPD2,,VTA1,MGST1,,METTL13,IDS,,IFRD1,,NADK,CCDC124,CD79B,TRAPPC6A,UTP18,WIZ,VPS41,RANBP9,,PAFAH1B1,SEC62,CEACAM21,,STAB1,HEATR5B,MAP4K3,,CEACAM21,MPND,CDK11A,PHLDB1,NISCH,APBA3,BAZ1B,CYB561,NADK,RALA,,PSMB1,PHTF2,JARID2,CEP68
SLC39A9,CYB561,VPS41,UQCRC1,PAFAH1B1,PKD1,,CDK11A,PAFAH1B1,RALA,CYB561,,SPATA20,,CYB561,,MGST1,SPAG9,CYB561,NISCH,,BAZ1B,MMP25,,ZNF207,ZNF200,,PAF1,,SYPL1,CEACAM21,RPUSD1,MATK,TTC19,PPP5C,ARHGAP44,STARD3NL,,BLTP2,RPS20,PAFAH1B1,,IDS,SEC62,LDAF1,,PAFAH1B1,NFIX,NADK,SNAI2,CLCN6,AKAP8L,RANBP9,SPAG9,AASS,BAIAP2L1,,CDKL5,FARP2,CDKL5,BRCA1
TFB1M,AASS,ARHGAP44,STARD3NL,TRAPPC6A,HEATR5B,,CYTH3,BLTP2,KDM7A,SPAG9,,MAP3K9,,SPAG9,,CRY1,AASS,NFIX,FUZ,,RANBP9,PKD1,,STARD3NL,FMO1,,ARHGAP44,,SS18L2,PAFAH1B1,TSR3,RPUSD1,LARS2,BRCA1,ARSD,NCAPD2,,TRAPPC6A,CSDE1,NOS2,,HFE,RPS20,ERCC1,,TRAPPC6A,MMP25,CYB561,SPAST,APBA3,RNF216,STARD3NL,AASS,PLEKHG6,ALDH3B1,,CYTH3,GGCT,CDK11A,ERCC1
RABEP1,PLEKHG6,ELAC2,NISCH,CEACAM7,SEC62,,CYB561,GAS7,AGK,SS18L2,,RALA,,AASS,,ST3GAL1,SS18L2,HEATR5B,HFE,,METTL13,HEATR5B,,HHATL,ELOA,,ELAC2,,MPND,TRAPPC6A,PSMB1,BAIAP3,ANLN,ERCC1,PNPLA4,GIPR,,RPUSD1,BAZ1B,TRAPPC6A,,NME1-NME2,CSDE1,MBTPS2,,MATK,CSDE1,SPAG9,FHL1,AKAP8L,TTC19,CD9,MPND,MPND,TTC22,,SYPL1,IFRD1,SPAG9,SEMA3B
IKZF2,MMP25,SCIN,FUZ,RPUSD1,RPS20,,NFIX,TRAPPC6A,TTC22,MPND,,BAIAP2L1,,MPND,,MMP25,MGST1,RPS20,ELOA,,UQCRC1,SEC62,,NCAPD2,NME1-NME2,,SCIN,,CRY1,MATK,JARID2,PIGQ,RABGAP1,UBR7,ADIPOR2,FUZ,,BAIAP3,RANBP9,MATK,,TSPAN9,UBE3C,EXTL3,,RPUSD1,FAM76A,PLEKHG6,RTF2,RNF216,PIK3C2A,NCAPD2,CRY1,MMP25,PHTF2,,SS18L2,COX10,AASS,MBTPS2
PNPLA6,PKD1,PNPLA4,CD4,LUC7L,UBE3C,,HEATR5B,LUC7L,FARP2,PKD1,,KDM7A,,MGST1,,HEATR5B,CRY1,CSDE1,MRC2,,STARD3NL,CSDE1,,GIPR,TSPAN9,,ARSD,,NFIX,RPUSD1,SYPL1,CRAMP1,QPCTL,MAP4K5,MARK4,HFE,,PIGQ,METTL13,CEACAM7,,APBA3,POMT2,CALCOCO1,,BAIAP3,BAZ1B,MPND,SLC45A4,PTBP1,RABGAP1,STAB1,NFIX,HEATR5B,FARP2,,MGST1,GTF2IRD1,MPND,EXTL3
CHPF2,HEATR5B,PROM1,BTK,BAIAP3,REV3L,,SEC62,CACNA2D2,GGCT,HEATR5B,,AGK,,CRY1,,SEC62,ST3GAL1,FAM76A,NME1-NME2,,NCAPD2,TRAF3IP3,,FUZ,BTBD7,,PNPLA4,,ST3GAL1,LUC7L,SS18L2,TFAP2B,CEP68,EHD3,PROM1,ELOA,,PSMB1,STARD3NL,CD79B,,MKS1,VTA1,MAP4K5,,TSR3,RANBP9,MGST1,ZNF839,LARS2,ERCC1,IDS,MMP25,SEC62,GGCT,,ST3GAL1,PAF1,MGST1,ELOVL5
FUT8,SEC62,CCDC124,FYN,PIGQ,FAM76A,,BAZ1B,BAIAP3,IFRD1,SEC62,,ALDH3B1,,NFIX,,RPS20,MMP25,POMT2,BTBD7,,GIPR,POMT2,,ELOA,APBA3,,MARK4,,PKD1,CACNA2D2,MPND,DLEC1,LDAF1,MVP,CCDC124,CLCN6,,JARID2,NCAPD2,PAX6,,AKAP8L,BAZ1B,PSMC4,,PSMB1,SPRTN,NFIX,ZDHHC6,PIK3C2A,SEMA3B,CD4,PKD1,REV3L,IFRD1,,MMP25,ELAC2,ST3GAL1,UBR7
GAB2,RPS20,CEACAM21,ELOA,PSMB1,BAZ1B,,RANBP9,TSR3,COX10,RPS20,,TTC22,,MMP25,,CSDE1,HEATR5B,VTA1,APBA3,,NISCH,VTA1,,CLCN6,MBTD1,,PROM1,,RHOBTB2,TSR3,CRY1,SYPL1,BRCA1,NUB1,CEACAM21,NME1-NME2,,CDK11A,GIPR,RPUSD1,,MBTD1,RANBP9,NUB1,,JARID2,METTL13,PKD1,GRAMD1B,RABGAP1,CALCOCO1,MRC2,HEATR5B,TRAF3IP3,COX10,,HEATR5B,PNPLA4,MMP25,PSMC4
APBA2,CSDE1,PAFAH1B1,NME1-NME2,JARID2,RANBP9,,SPRTN,PIGQ,GTF2IRD1,CSDE1,,PHTF2,,PKD1,,UBE3C,SEC62,BAZ1B,AKAP8L,,STAB1,BAZ1B,,TSPAN9,RNF216,,CCDC124,,HEATR5B,PIGQ,PGLYRP1,AASS,ERCC1,CLK1,PAFAH1B1,TSPAN9,,CYTH3,HFE,BAIAP3,,TTC19,METTL13,RWDD2A,,CDKL5,UQCRC1,RHOBTB2,ALAS1,QPCTL,UBR7,NME1-NME2,SEC62,POMT2,GTF2IRD1,,SEC62,ADIPOR2,PKD1,RNF14
FAM136A,REV3L,NOS2,TSPAN9,CDKL5,METTL13,,METTL13,PSMB1,PAF1,TRAF3IP3,,FARP2,,RHOBTB2,,POMT2,RPS20,RANBP9,UTP18,,FUZ,METTL13,,MBTD1,TTC19,,CEACAM21,,UBE3C,PSMB1,ST3GAL1,MPND,SEMA3B,POLR3B,BLTP2,APBA3,,SYPL1,ELOA,PIGQ,,SYT7,STARD3NL,DNASE1L1,,CDK11A,CD9,SEC62,EHD2,PPP5C,MAP4K5,TSPAN9,UBE3C,VTA1,PAF1,,RPS20,MARK4,RPS20,DNASE1L1
VCL,FAM76A,BLTP2,APBA3,CDK11A,STARD3NL,,ZNF207,JARID2,VPS41,BAZ1B,,USH1C,,SEC62,,RANBP9,CSDE1,METTL13,LARS2,,IDS,STARD3NL,,TTC19,PTBP1,,PAFAH1B1,,REV3L,JARID2,HEATR5B,MGST1,EXTL3,RNF14,LUC7L,AKAP8L,,AASS,NME1-NME2,CRAMP1,,LARS2,NCAPD2,MAMLD1,,NADK,NCAPD2,RPS20,CCDC28A,TYROBP,PSMC4,APBA3,REV3L,BAZ1B,VPS41,,CSDE1,CCDC124,CSDE1,DDX11
NSMAF,TRAF3IP3,TRAPPC6A,RNF216,NADK,CD9,,STARD3NL,CDKL5,ARHGAP44,RANBP9,,GGCT,,UBE3C,,METTL13,UBE3C,CD9,ANLN,,ZNF200,NCAPD2,,LARS2,DPF1,,BLTP2,,VTA1,CDK11A,SEC62,CRY1,ELOVL5,DDX11,BAIAP3,RNF216,,MGST1,AKAP8L,SYN1,,PIK3C2A,GIPR,POLA2,,CYTH3,NISCH,CSDE1,KPNA6,ERCC1,RWDD2A,AKAP8L,TRAF3IP3,RANBP9,ARHGAP44,,UBE3C,CEACAM21,UBE3C,TACC3
TUBG2,POMT2,MATK,PIK3C2A,TFAP2B,STAB1,,CD9,CDK11A,ARSD,METTL13,,IFRD1,,REV3L,,STARD3NL,BAZ1B,NCAPD2,RABGAP1,,LRRC23,GIPR,,PIK3C2A,PIK3C2A,,SLC13A2,,RANBP9,NADK,RPS20,ST3GAL1,PSMC4,COX15,PIGQ,LARS2,,NFIX,TTC19,CDK11A,,RABGAP1,STAB1,ZC3H3,,CYB561,FUZ,UBE3C,CD44,CALCOCO1,CLK1,RNF216,POMT2,METTL13,ELAC2,,FAM76A,PAFAH1B1,POMT2,POLA2
PI4K2B,VTA1,CEACAM7,PLAUR,SYPL1,FUZ,,NCAPD2,CYTH3,MARK4,STARD3NL,,COX10,,POMT2,,CD9,RANBP9,GIPR,QPCTL,,FYN,STAB1,,WIZ,PPP5C,,TRAPPC6A,,METTL13,DLEC1,CSDE1,MMP25,NUB1,YAF2,PSMB1,PIK3C2A,,ST3GAL1,PTBP1,CYB561,,CEP68,IDS,SLC30A9,,MPND,IDS,REV3L,KCNG1,PSMC4,POLR3B,PTBP1,BAZ1B,STARD3NL,SCIN,,POMT2,TRAPPC6A,VTA1,MTMR11
BOD1L1,METTL13,CD79B,ZBTB32,SPAG9,IDS,,STAB1,SPAG9,CCDC124,CD9,,GTF2IRD1,,VTA1,,NCAPD2,METTL13,FUZ,PPP5C,,ELOA,FUZ,,DCN,CEP68,,CEACAM7,,STARD3NL,CYTH3,FAM76A,HEATR5B,RWDD2A,MATR3,JARID2,PPP5C,,MMP25,LARS2,SPAG9,,SEMA3B,HFE,COX15,,CRY1,ELOA,IYD,PRKCH,NUB1,RNF14,PPP5C,RANBP9,NCAPD2,ARSD,,VTA1,RPUSD1,BAZ1B,NUDCD3
EDC4,STARD3NL,RPUSD1,BRCA1,SS18L2,ZNF200,,IDS,CELSR3,CEACAM21,NCAPD2,,ARHGAP44,,BAZ1B,,NISCH,STARD3NL,IDS,CEP68,,UTP18,ZNF200,,PPP5C,ERCC1,,RPUSD1,,NCAPD2,SYPL1,BAZ1B,SEC62,RNF14,NUDCD3,CDK11A,CEP68,,HEATR5B,PIK3C2A,SS18L2,,LTF,NME1-NME2,CCDC88C,,ST3GAL1,NME1-NME2,TRAF3IP3,VRK2,RWDD2A,DDX11,TYROBP,METTL13,GIPR,PNPLA4,,BAZ1B,TSR3,RANBP9,SLC38A5
